id,店舗,短縮営業期間,営業時間,左記期間内の休業
1,購買書籍部,8/7(月) ～ 9/22(金),10:30-16:30,土日祝・8/11～8/20
1,あさひSHOP,8/7(月) ～ 9/22(金),11:00-14:00,土日祝・8/11～8/20
1,旭会館食堂(昼),8/5(土) ～ 9/22(金),11:30-13:30,土日祝・8/11～8/20
1,旭会館食堂(夕),8/21(月) ～ 9/22(金),17:00-19:00,休みなし
1,ライジングサン,8/7(月) ～ 9/22(金),11:30-13:00,土日祝・8/11～8/20
1,本部,8/7(月) ～ 9/22(金),10:30-16:30,土日祝・8/11～8/20
2,購買書籍部,7/31(月) ～ 9/29(金),10:30-14:30,土日祝・8/11～8/20
2,食堂,7/31(月) ～ 8/10(木),11:30-13:00,土日祝・8/11～9/22 
2,食堂,9/25(月) ～ 9/29(金),11:30-13:00,土日祝・8/11～9/22
3,購買書籍部,8/9(水) ～ 9/22(金),11:00-15:30,土日祝・8/11～8/20
3,食堂(昼),8/7(月) ～ 9/22(金),11:30-13:30,土日祝・8/11～8/20
4,購買書籍部,8/7(月) ～ 9/22(金),10:30-15:30,土日祝・8/11～8/20
4,食堂,8/7(月) ～ 9/22(金),11:30-13:00,土日祝・8/11～8/20
5,購買書籍部,8/7(月) ～ 9/22(金),10:30-15:30,土日祝・8/11～8/20
5,食堂(昼),8/7(月) ～ 9/22(金),11:30-13:00,土日祝・8/11～8/20
